FEATURE AREA,FEATURE AREA COVERAGE
Commissioning-BTS Settings (except toggle fault),50.67%
Commissioning-Local Cell Group,35.61%
Commissioning-LTE Carrier,30.60%
Commissioning-Local Cell Resource,26.60%
Commissioning-Local Cell Settings,0.00%
"Commissioning EAC (System Module External Fault and Control Settings), EAC for FHS, EAC in XLF XLC",31.43%
Commissioning-Site Testing,20.30%
Commissioning-Module Settings,43.75%
Commissioning-Configuration Change Notifications (CCNs),69.57%
Commissioning-ALD area,44.47%
Commissioning-BTS Synchronization Settings,53.68%
Commissioning-LTE Commissioning Radio Network Configuration (PDDB)/Commissioning-RNW,39.28%
Commissioning-Concurrent Mode Settings,24.54%
Commissioning-Additional Site Settings,39.68%






FEATURE AREA,FEATURE AREA COVERAGE,CLASS,CLASS COVERAGE,LINE_MISSED,LINE_COVERED,METHOD_MISSED,METHOD_COVERED
,,com.hahaqu.em.bts.common.commissioning.model.CarrierModelBase,24.44%,272,88,35,16
,,com.hahaqu.em.bts.common.commissioning.model.CarrierBase,53.85%,48,56,15,24
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.helper.SlimCarrierFilterManager$SlimCarrierFilterEntry,75.44%,14,43,9,14
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.helper.SlimCarrierFilterManager,68.29%,13,28,2,5
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.helper.LNCELDlSlimCarrierChecker,28.44%,78,31,13,5
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDLNBTSActMultipleCarrierValidator,0.00%,76,0,10,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDANRPRXRttCarrierFreqValidator,0.00%,3,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDANRPRTutraCarrierFreqValidator,0.00%,1,0,1,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDANRPRWutraCarrierFreqValidator,0.00%,3,0,2,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.LTECarrierValidator,28.57%,10,4,1,2
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.LTECarrierModelValidator,23.82%,435,136,26,24
,,com.hahaqu.em.bts.gui.tdlte.component.siteinfo.model.TDLTECarrierSiteInfoModel,0.00%,43,0,6,0
,,com.hahaqu.em.bts.gui.tdlte.component.siteinfo.model.TDLTECarrierSiteInfoModel$1,0.00%,8,0,2,0
,,com.hahaqu.em.bts.common.hwmodel.CDMACarrierBean,0.00%,4,0,2,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.holder.LTECarrierParametersHolder,44.44%,35,28,16,10
,,com.hahaqu.em.bts.gui.tdlte.commissioning.view.TDLTECarriersSettingsView$1,0.00%,5,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.view.TDLTECarriersSettingsView$2,0.00%,5,0,3,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.view.TDLTECarriersSettingsView$3,0.00%,6,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.view.TDLTECarriersSettingsView,0.00%,205,0,24,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.view.TDLTECarriersSettingsView$CarrierSelectionHandler,0.00%,13,0,2,0
,,com.hahaqu.em.bts.gui.lte.rf.data.FDLTECarrierProvider,38.71%,38,24,14,1
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTECarriersSettingsView$CarrierTableModelUpdater,15.62%,27,5,1,1
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTECarriersSettingsView,49.15%,298,288,16,43
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTECarrierEqView,84.62%,2,11,0,2
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTECarriersSettingsView$CarrierSelectionHandler,84.62%,2,11,0,2
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTECarriersSettingsView$3,20.00%,4,1,1,1
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTECarriersSettingsView$2,0.00%,6,0,2,0
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTECarriersSettingsView$1,100.00%,0,3,0,2
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTECarriersSettingsView$CarrierTableFocusListener,18.18%,18,4,2,1
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTECarriersSettingsView$UploadTableColumnModelListener,33.33%,6,3,3,3
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTECarriersSettingsView$DownloadTableColumnModelListener,55.56%,4,5,2,4
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.TDLTECarrierModel$TDCarrierTableValueMediator,0.00%,82,0,7,0
